Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,HeadquartersCity,HeadquartersState
133,Arrow Electronics,ARW,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,no,-24,no,yes,no,yes,yes,no,22100,6988.1,33107.1,-10.8,903.5,-36.7,21726.2,Sean J. Kerins,Centennial,Colorado
134,3M,MMM,Chemicals,Chemicals,no,no,no,no,-18,no,yes,no,yes,yes,no,85000,58695,32681,-4.5,-6995,-221.1,50580,William M. Brown,St. Paul,Minnesota
135,Visa,V,Business Services,Financial Data Services,yes,no,no,yes,2,yes,no,no,no,yes,yes,28800,560847.5,32653,11.4,17273,15.5,90499,Ryan McInerney,San Francisco,California
136,Apollo Global Management,APO,Financials,Securities,yes,yes,no,yes,220,yes,no,no,no,no,no,6855,63889.7,32644,180.8,5047,,313488,Marc Rowan,New York,New York
137,HF Sinclair,DINO,Energy,Petroleum Refining,yes,no,no,no,-30,no,yes,no,yes,no,no,5218,11987.6,31964.4,-16.3,1589.7,-45.6,17716.3,Tim Go,Dallas,Texas
138,CBRE Group,CBRE,Financials,Real estate,yes,no,no,yes,-3,no,yes,no,no,yes,no,130000,29725.9,31949,3.6,986,-29.9,22548,Robert E. Sulentic,Dallas,Texas
139,PNC Financial Services Group,PNC,Financials,Commercial Banks,yes,no,no,no,29,yes,no,no,no,yes,no,55612,64291.8,31882,35.4,5578,-7.7,561580,William S. Demchak,Pittsburgh,Pennsylvania
140,Lithia Motors,LAD,Retailing,"Automotive Retailing, Services",yes,no,no,yes,5,yes,no,no,no,no,no,25051,8283,31310.9,10.6,1000.8,-20,19632.5,Bryan B. DeBoer,Medford,Oregon
141,CarMax,KMX,Retailing,"Automotive Retailing, Services",yes,no,no,no,-17,no,yes,no,yes,no,yes,30621,13756.5,31126.4,-6.2,484.8,-57.9,26182.7,William D. Nash,Richmond,Virginia
142,Paramount Global,PARA,Media,Entertainment,no,no,no,no,-8,no,yes,no,yes,no,no,24150,8099,30610,-2.3,-608,-155.1,53543,George Cheeks/Chris McCarthy/Brian Robbins,New York,New York
143,Dollar Tree,DLTR,Retailing,Specialty Retailers: Other,no,no,no,yes,1,yes,no,no,no,no,no,138860,29024.4,30603.8,8,-998.4,-161.8,22023.5,Richard W. Dreiling,Chesapeake,Virginia
144,United Natural Foods,UNFI,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,no,-5,no,yes,no,no,no,no,29455,682.9,30272,4.6,24,-90.3,7394,Sandy Douglas,Providence,Rhode Island
145,PayPal Holdings,PYPL,Business Services,Financial Data Services,yes,no,no,no,3,yes,no,no,no,yes,no,27200,71796,29771,8.2,4246,75.5,82166,Alex Chriss,San Jose,California
146,Penske Automotive Group,PAG,Retailing,"Automotive Retailing, Services",yes,no,no,yes,1,yes,no,no,no,yes,no,28000,10861,29527.4,6.2,1053.2,-23.7,15671.5,Roger S. Penske,Bloomfield Hills,Michigan
147,Hewlett Packard Enterprise,HPE,Technology,"Computers, Office Equipment",yes,no,no,yes,-4,no,yes,no,no,yes,yes,62000,23049,29135,2.2,2025,133.3,57153,Antonio F. Neri,Spring,Texas
148,Duke Energy,DUK,Energy,Utilities: Gas and Electric,yes,no,yes,no,-7,no,yes,no,no,yes,no,27037,74607.9,28932,0.5,2841,11.4,176893,Lynn J. Good,Charlotte,North Carolina
149,Occidental Petroleum,OXY,Energy,"Mining, Crude-Oil Production",yes,no,yes,yes,-39,no,yes,no,yes,no,no,12570,57611.3,28918,-22,4696,-64.7,74008,Vicki A. Hollub,Houston,Texas
150,NRG Energy,NRG,Energy,Energy,no,no,no,yes,-20,no,yes,no,yes,no,no,18131,14535.4,28823,-8.6,-202,-116.5,26038,Lawrence S. Coben,Houston,Texas
151,Amgen,AMGN,Health Care,Pharmaceuticals,yes,no,no,yes,3,yes,no,no,no,yes,no,26700,152372.5,28190,7.1,6717,2.5,97154,Robert A. Bradway,Thousand Oaks,California
152,NextEra Energy,NEE,Energy,Utilities: Gas and Electric,yes,no,no,yes,35,yes,no,no,no,yes,no,16800,131170.7,28114,34.2,7310,76.3,177489,John W. Ketchum,Juno Beach,Florida
153,Danaher,DHR,Health Care,Medical Products and Equipment,yes,no,no,no,-21,no,yes,no,yes,yes,no,62000,184928.7,27602,-12.3,4764,-33.9,84488,Rainer M. Blair,Washington,District Of Columbia
154,Gilead Sciences,GILD,Health Care,Pharmaceuticals,yes,no,no,yes,-4,no,yes,no,no,no,no,18000,91340.5,27116,-0.6,5665,23.4,62125,Daniel P. O'Day,Foster City,California
155,AutoNation,AN,Retailing,"Automotive Retailing, Services",yes,no,no,yes,-4,no,yes,no,no,yes,no,25300,6902.1,26948.9,-0.1,1021.1,-25.9,11980,Michael M. Manley,Fort Lauderdale,Florida
156,Kraft Heinz,KHC,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,no,-3,no,yes,no,no,no,no,36000,44857,26640,0.6,2855,20.8,90339,Carlos Abrams-Rivera,Chicago,Illinois
157,Avnet,AVT,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,yes,6,yes,no,no,no,yes,no,15800,4480.2,26536.9,9.2,770.8,11.3,12477.2,Philip R. Gallagher,Phoenix,Arizona
158,Applied Materials,AMAT,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-3,no,yes,no,no,yes,no,34000,171356,26517,2.8,6856,5.1,30729,Gary E. Dickerson,Santa Clara,California
159,Southwest Airlines,LUV,Transportation,Airlines,yes,no,no,yes,6,yes,no,no,no,yes,no,74806,17416.6,26091,9.6,465,-13.7,36487,Robert E. Jordan,Dallas,Texas
160,Charles Schwab,SCHW,Financials,Securities,yes,no,no,no,15,yes,no,no,no,yes,no,33000,131974.9,25521,14.4,5067,-29.5,493178,Walter W. Bettinger II,Westlake,Texas
161,Baker Hughes,BKR,Energy,"Oil and Gas Equipment, Services",yes,no,no,yes,24,yes,no,no,no,no,no,58000,33529.5,25506,20.6,1943,,36945,Lorenzo Simonelli,Houston,Texas
162,McDonald's,MCD,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,no,7,yes,no,no,no,yes,no,150000,203582.4,25493.7,10,8468.8,37.1,56146.8,Christopher J. Kempczinski,Chicago,Illinois
163,Southern Company,SO,Energy,Utilities: Gas and Electric,yes,no,no,yes,-25,no,yes,no,no,yes,no,27960,78269.4,25253,-13.8,3976,12.8,139331,Christopher C. Womack,Atlanta,Georgia
164,Mastercard,MA,Business Services,Financial Data Services,yes,no,no,yes,13,yes,no,no,no,yes,yes,33400,449252.6,25098,12.9,11195,12.7,42448,Michael Miebach,Purchase,New York
165,Constellation Energy,CEG,Energy,Energy,yes,no,no,yes,-3,no,yes,no,no,no,no,13842,58250.1,24918,2,1623,,50758,Joseph Dominguez,Baltimore,Maryland
166,Hartford Financial Services Group,HIG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,8,yes,no,no,no,no,no,18700,30636.6,24527,9.7,2504,38,76780,Christopher J. Swift,Hartford,Connecticut
167,PG&E,PCG,Energy,Utilities: Gas and Electric,yes,no,yes,yes,13,yes,no,no,no,no,no,28010,35759.5,24428,12.7,2242,24.6,125698,Patricia K. Poppe,Oakland,California
168,Coupang,CPNG,Retailing,Internet Services and Retailing,yes,yes,no,yes,27,yes,no,no,no,no,no,78000,31903.1,24383,18.5,1360,,13346,Bom Kim,Seattle,Washington
169,EOG Resources,EOG,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-13,no,yes,no,no,no,no,3050,73535.6,24186,-5.9,7594,-2.1,43857,Ezra Y. Yacob,Houston,Texas
170,Union Pacific,UNP,Transportation,Railroads,yes,no,no,no,-11,no,yes,no,no,yes,no,32973,150041,24119,-3,6379,-8.8,67132,Jim Vena,Omaha,Nebraska
171,Rite Aid,RADCQ,Food & Drug Stores,Food & Drug Stores,no,no,no,no,-10,no,yes,no,no,no,no,47000,9,24091.9,-1.9,-749.9,,7527.4,Jeffrey S. Stein,Philadelphia,Pennsylvania
172,Macy's,M,Retailing,General Merchandisers,yes,no,no,no,-14,no,yes,no,no,no,no,85581,5482.7,23866,-5.7,105,-91.1,16246,Tony Spring,New York,New York
173,Marriott International,MAR,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,19,yes,no,no,no,yes,yes,148000,72730.7,23713,14.2,3083,30.7,25674,Anthony G. Capuano,Bethesda,Maryland
174,Lear,LEA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,15,yes,no,no,no,yes,no,186600,8263.1,23466.9,12.3,572.5,74.7,14695.5,Raymond E. Scott,Southfield,Michigan
175,Genuine Parts,GPC,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,4,yes,no,no,no,no,no,60000,21600.9,23090.6,4.5,1316.5,11.3,17968.5,William P. Stengel II,Atlanta,Georgia
176,Sherwin-Williams,SHW,Chemicals,Chemicals,yes,no,yes,no,2,yes,no,no,no,yes,no,64088,88255.4,23051.9,4.1,2388.8,18.3,22954.4,Heidi G. Petz,Cleveland,Ohio
177,Halliburton,HAL,Energy,"Oil and Gas Equipment, Services",yes,no,no,yes,20,yes,no,no,no,no,no,48000,35087.8,23018,13.4,2638,67.8,24683,Jeffrey A. Miller,Houston,Texas
178,Freeport-McMoRan,FCX,Energy,"Mining, Crude-Oil Production",yes,no,yes,yes,-7,no,yes,no,no,no,no,27200,67445.9,22855,0.3,1848,-46.7,52506,Kathleen L. Quirk,Phoenix,Arizona
179,Live Nation Entertainment,LYV,Media,Entertainment,yes,no,no,yes,69,yes,no,no,no,yes,no,23200,24411.5,22749.1,36.4,563.3,90.3,19074,Michael Rapino,Beverly Hills,California
180,Marsh & McLennan,MMC,Financials,Diversified Financials,yes,no,no,no,13,yes,no,no,no,yes,no,85000,101657.8,22736,9.7,3756,23.1,48030,John Q. Doyle,New York,New York
181,Advanced Micro Devices,AMD,Technology,Semiconductors and Other Electronic Components,yes,no,yes,yes,-14,no,yes,no,no,yes,no,26000,291697.1,22680,-3.9,854,-35.3,67885,Lisa T. Su,Santa Clara,California
182,First Citizens BancShares,FCNCA,Financials,Commercial Banks,yes,no,no,yes,420,yes,no,yes,no,no,no,15868,23620.4,22466,304.9,11466,944.3,213758,Frank B. Holding Jr.,Raleigh,North Carolina
183,WESCO International,WCC,Wholesalers,Wholesalers: Diversified,yes,no,no,no,-2,no,yes,no,no,yes,no,20000,8727.3,22385.2,4.5,765.5,-11,15060.9,John J. Engel,Pittsburgh,Pennsylvania
184,Carrier Global,CARR,Industrials,Industrial Machinery,yes,no,no,yes,12,yes,no,no,no,yes,no,53000,52323,22098,8.2,1349,-61.8,32822,David L. Gitlin,Palm Beach Gardens,Florida
185,Cleveland-Cliffs,CLF,Materials,Metals,yes,no,no,yes,-15,no,yes,no,no,no,no,28000,11331.1,21996,-4.3,399,-70.1,17537,Lourenco Goncalves,Cleveland,Ohio
186,Block,SQ,Business Services,Financial Data Services,yes,yes,no,yes,48,yes,no,no,no,yes,no,12985,52075.3,21915.6,25,9.8,,34069.9,Jack Dorsey,Oakland,California
187,Exelon,EXC,Energy,Utilities: Gas and Electric,yes,no,no,yes,31,yes,no,no,no,yes,no,19962,37560,21727,13.9,2328,7.3,101546,Calvin G. Butler Jr.,Chicago,Illinois
188,KKR,KKR,Financials,Securities,yes,no,no,yes,308,yes,no,no,no,no,no,4490,89013.9,21685.3,198.1,3732.3,,317294.2,Joseph Y. Bae/Scott C. Nuttall,New York,New York
189,CDW,CDW,Technology,Information Technology Services,yes,no,yes,no,-23,no,yes,no,no,no,no,15100,34329.5,21376,-10,1104.3,-0.9,13284.6,Christine A. Leahy,Vernon Hills,Illinois
190,Booking Holdings,BKNG,Technology,Internet Services and Retailing,yes,no,no,yes,53,yes,no,no,no,yes,no,23482,123968.4,21365,25,4289,40.3,24342,Glenn D. Fogel,Norwalk,Connecticut
191,Synchrony,SYF,Financials,Diversified Financials,yes,no,no,yes,44,yes,no,no,no,no,yes,20000,17543.1,20999,19.8,2238,-25.8,117479,Brian D. Doubles,Stamford,Connecticut
192,Quanta Services,PWR,Engineering & Construction,Engineering & Construction,yes,no,no,yes,52,yes,no,no,no,yes,no,52500,37865.6,20882.2,22.3,744.7,51.6,16237.2,Earl C. Austin Jr.,Houston,Texas
193,Jones Lang LaSalle,JLL,Financials,Real estate,yes,no,no,yes,-3,no,yes,no,no,yes,no,106100,9255.6,20760.8,-0.5,225.4,-65.6,16064.8,Christian Ulbrich,Chicago,Illinois
194,Discover Financial Services,DFS,Financials,Commercial Banks,yes,no,no,yes,79,yes,no,no,no,no,yes,21100,32846.5,20606,35.5,2940,-33.1,151522,J. Michael  Shepherd,Riverwoods,Illinois
195,Tenet Healthcare,THC,Health Care,Health Care: Medical Facilities,yes,no,no,yes,20,yes,no,no,no,no,no,95905,10510.5,20548,7.2,611,48.7,28312,Saumya Sutaria,Dallas,Texas
196,Altria Group,MO,"Food, Beverages & Tobacco",Tobacco,yes,no,no,yes,-2,no,yes,no,no,no,no,6400,76922.2,20502,-0.9,8130,41,38570,William F. Gifford Jr.,Richmond,Virginia
197,Stryker,SYK,Health Care,Medical Products and Equipment,yes,no,no,yes,27,yes,no,no,no,yes,yes,52000,136158.7,20498,11.1,3165,34.2,39912,Kevin A. Lobo,Portage,Michigan
198,Kimberly-Clark,KMB,Household Products,Household and Personal Products,yes,no,no,no,1,yes,no,no,no,yes,no,41000,43579.9,20431,1.3,1764,-8.8,17344,Michael D. Hsu,Irving,Texas
199,Waste Management,WM,Business Services,Waste Management,yes,no,no,no,5,yes,no,no,no,yes,no,48000,85600.6,20426,3.7,2304,2.9,32823,James C. Fish Jr.,Houston,Texas
200,Cheniere Energy,LNG,Energy,Pipelines,yes,no,no,yes,-78,no,yes,no,yes,no,no,1605,37851.2,20394,-39,9881,591.9,43076,Jack A. Fusco,Houston,Texas
201,Ross Stores,ROST,Retailing,Specialty Retailers: Apparel,yes,no,yes,yes,22,yes,no,no,no,no,no,108000,49409.1,20376.9,9,1874.5,24,14300.1,Barbara Rentler,Dublin,California
202,WestRock,,Materials,"Packaging, Containers",no,no,no,yes,-19,no,yes,no,no,no,no,56100,12707,20310,-4.5,-1649,-274.6,27443.7,David B. Sewell,Atlanta,Georgia
203,General Mills,GIS,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,16,yes,no,no,no,yes,no,34000,39501.5,20094.2,5.8,2593.9,-4.2,31451.7,Jeffrey L. Harmening,Minneapolis,Minnesota
204,Goodyear Tire & Rubber,GT,Motor Vehicles & Parts,Motor Vehicles & Parts,no,no,no,no,-13,no,yes,no,no,no,no,71000,3901.3,20066,-3.6,-689,-441.1,21582,Mark W. Stewart,Akron,Ohio
205,BJ's Wholesale Club,BJ,Retailing,General Merchandisers,yes,no,no,no,5,yes,no,no,no,no,no,34000,10058.5,19968.7,3.4,523.7,2.1,6677.6,Robert W. Eddy,Marlborough,Massachusetts
206,GE HealthCare Technologies,GEHC,Health Care,Medical Products and Equipment,yes,no,no,no,0,no,no,yes,no,no,no,51000,41396.5,19552,,1568,,32454,Peter J. Arduini,Chicago,Illinois
207,Colgate-Palmolive,CL,Household Products,Household and Personal Products,yes,no,no,yes,21,yes,no,no,no,yes,no,34000,74019.9,19457,8.3,2300,28.9,16393,Noel R. Wallace,New York,New York
208,Whirlpool,WHR,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,-5,no,yes,no,no,yes,no,59000,6515.3,19455,-1.4,481,,17312,Marc R. Bitzer,Benton Harbor,Michigan
209,L3Harris Technologies,LHX,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,37,yes,no,no,no,no,no,50000,40508.1,19419,13.8,1227,15.5,41687,Christopher E. Kubasik,Melbourne,Florida
210,Adobe,ADBE,Technology,Computer Software,yes,no,no,yes,23,yes,no,no,no,yes,yes,29945,226060.8,19409,10.2,5428,14.1,29779,Shantanu Narayen,San Jose,California
211,Becton Dickinson,BDX,Health Care,Medical Products and Equipment,yes,no,no,no,-2,no,yes,no,no,no,no,73000,71488.9,19372,-0.2,1484,-16.6,52780,Thomas E. Polen,Franklin Lakes,New Jersey
212,Pioneer Natural Resources,PXD,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,-48,no,yes,no,no,no,no,2213,61326.1,19362,-20.3,4894,-37.6,36613,Richard P. Dealy,Irving,Texas
213,Cognizant Technology Solutions,CTSH,Technology,Information Technology Services,yes,no,no,no,-5,no,yes,no,no,no,no,347700,36486.8,19353,-0.4,2126,-7.2,18483,Ravi Kumar S,Teaneck,New Jersey
214,Murphy USA,MUSA,Retailing,Specialty Retailers: Other,yes,no,no,yes,-32,no,yes,no,no,no,no,10750,8726.5,19238.2,-9.5,556.8,-17.3,4340.1,R. Andrew Clyde,El Dorado,Arkansas
215,Fiserv,FI,Business Services,Financial Data Services,yes,no,no,yes,15,yes,no,no,no,yes,no,42000,94358.1,19093,7.6,3068,21.3,90890,Frank J. Bisignano,Milwaukee,Wisconsin
216,Parker-Hannifin,PH,Industrials,Industrial Machinery,yes,no,yes,yes,45,yes,no,no,no,no,no,62730,71369.5,19065.2,20.2,2082.9,58.3,29964.5,Jennifer A. Parmentier,Cleveland,Ohio
217,American Electric Power,AEP,Energy,Utilities: Gas and Electric,yes,no,no,yes,-12,no,yes,no,no,no,no,17250,45339.4,18982.3,-3.3,2208.1,-4.3,96684,William J. Fehrman,Columbus,Ohio
218,International Paper,IP,Materials,"Packaging, Containers",yes,no,no,no,-34,no,yes,no,no,yes,no,39000,13514.7,18916,-10.6,288,-80.9,23261,Andrew K. Silvernail,Memphis,Tennessee
219,ManpowerGroup,MAN,Business Services,Temporary Help,yes,no,no,no,-17,no,yes,no,no,no,no,27900,3756.3,18914.5,-4.6,88.8,-76.2,8830.2,Jonas Prising,Milwaukee,Wisconsin
220,Aramark,ARMK,Business Services,Diversified Outsourcing Services,yes,no,no,no,33,yes,no,no,no,no,no,262550,8535,18853.9,15.5,674.1,246.6,16871.2,John J. Zillmer,Philadelphia,Pennsylvania
221,Steel Dynamics,STLD,Materials,Metals,yes,yes,no,yes,-45,no,yes,no,no,yes,no,12600,23412.5,18795.3,-15.6,2450.9,-36.5,14908.4,Mark D. Millett,Fort Wayne,Indiana
222,Aflac,AFL,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,-15,no,yes,no,no,yes,no,12785,49404.5,18701,-4.1,4659,10.9,126724,Daniel P. Amos,Columbus,Georgia
223,Reinsurance Group of America,RGA,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,34,yes,no,no,no,yes,no,3900,12683.2,18567,14.2,902,44.8,97623,Tony Cheng,Chesterfield,Missouri
224,Emerson Electric,EMR,Industrials,Industrial Machinery,yes,no,no,no,-18,no,yes,no,no,no,no,67000,64842.2,18370,-6.4,13219,309.1,42746,S.L. Karsanbhai,St. Louis,Missouri
225,State Street,STT,Financials,Commercial Banks,yes,no,no,yes,80,yes,no,no,no,yes,no,46451,23346.3,18366,34.1,1944,-29.9,297258,Ronald P. O'Hanley,Boston,Massachusetts
226,PPG Industries,PPG,Chemicals,Chemicals,yes,no,no,yes,6,yes,no,no,no,yes,no,53000,34103.8,18246,3.4,1270,23.8,21647,Timothy M. Knavish,Pittsburgh,Pennsylvania
227,United States Steel,X,Materials,Metals,yes,no,no,no,-41,no,yes,no,no,no,no,21803,9168,18053,-14.3,895,-64.5,20451,David B. Burritt,Pittsburgh,Pennsylvania
228,Automatic Data Processing,ADP,Business Services,Diversified Outsourcing Services,yes,no,yes,yes,23,yes,no,no,no,yes,no,63000,102590.8,18012.2,9.2,3412,15.7,50971,Maria Black,Roseland,New Jersey
229,Group 1 Automotive,GPI,Retailing,"Automotive Retailing, Services",yes,no,no,yes,23,yes,no,no,no,no,no,16011,3999.4,17873.7,8.9,601.6,-19.9,7774.1,Daryl A. Kenningham,Houston,Texas
230,Dominion Energy,D,Energy,Utilities: Gas and Electric,yes,no,no,yes,12,yes,no,no,no,no,no,17700,41201.2,17867,4,1994,100.6,109032,Robert M. Blue,Richmond,Virginia
231,BlackRock,BLK,Financials,Securities,yes,yes,no,no,-2,no,yes,no,no,yes,no,19800,124173.4,17859,-0.1,5502,6.3,123211,Laurence D. Fink,New York,New York
232,Oneok,OKE,Energy,Pipelines,yes,no,no,yes,-59,no,yes,no,no,no,no,4775,46751.9,17677,-21,2659,54.4,44266,Pierce H. Norton II,Tulsa,Oklahoma
233,C.H. Robinson Worldwide,CHRW,Transportation,Transportation and Logistics,yes,no,no,no,-73,no,yes,no,no,yes,no,15246,8907.9,17596.4,-28.7,325.1,-65.4,5225.3,David P. Bozeman,Eden Prairie,Minnesota
234,Texas Instruments,TXN,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-34,no,yes,no,no,no,no,34000,158540.8,17519,-12.5,6510,-25.6,32348,Haviv Ilan,Dallas,Texas
235,Kohl's,KSS,Retailing,General Merchandisers,yes,no,no,no,-9,no,yes,no,no,yes,no,66000,3232.9,17476,-3.4,317,,14009,Thomas A. Kingsbury,Menomonee Falls,Wisconsin
236,AutoZone,AZO,Retailing,Specialty Retailers: Other,yes,no,no,yes,22,yes,no,no,no,yes,no,95200,54532.7,17457.2,7.4,2528.4,4.1,15985.9,Philip B. Daniele III,Memphis,Tennessee
237,Lam Research,LRCX,Technology,Semiconductors and Other Electronic Components,yes,no,no,no,3,yes,no,no,no,yes,no,17200,127375.7,17428.5,1.2,4510.9,-2,18781.6,Timothy M. Archer,Fremont,California
238,Corteva,CTVA,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,0,no,no,no,no,yes,no,22500,40304.4,17226,-1.3,735,-35.9,42996,Charles V. Magro,Indianapolis,Indiana
239,Peter Kiewit Sons',,Engineering & Construction,Engineering & Construction,yes,no,no,yes,68,yes,no,no,no,no,no,31100,,17118,25.3,1176,65.6,9724,Rick Lanoha,Omaha,Nebraska
240,Builders FirstSource,BLDR,Materials,"Building Materials, Glass",yes,no,no,no,-68,no,yes,no,no,no,no,29000,25430.6,17097.3,-24.8,1540.6,-44,10499.5,Dave Rush,Irving,Texas
241,Kyndryl Holdings,KD,Technology,Information Technology Services,no,no,no,no,-16,no,yes,no,no,no,no,90000,5007,17026,-7,-1374,,11464,Martin J. Schroeter,New York,New York
242,EchoStar,SATS,Telecommunications,Telecommunications,no,no,no,yes,0,no,no,yes,no,no,no,15300,3869.1,17015.6,751.6,-1702.1,-1061.3,57108.9,Hamid Akhavan,Englewood,Colorado
243,American Family Insurance Group,,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,58,yes,no,no,no,no,no,12417,,16999.9,23.1,-891,,38023.5,William Westrate,Madison,Wisconsin
244,Delek US Holdings,DK,Energy,Petroleum Refining,yes,no,no,no,-46,no,yes,no,no,no,no,3591,1968,16917.4,-16.4,19.8,-92.3,7171.8,Avigal Soreq,Brentwood,Tennessee
245,Land O'Lakes,,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,yes,no,-32,no,yes,no,no,no,no,9000,,16794.9,-12.6,254.2,5.4,9464.3,Beth E. Ford,Arden Hills,Minnesota
246,Sempra,SRE,Energy,Utilities: Gas and Electric,yes,no,no,yes,39,yes,no,no,no,yes,no,16835,45438.8,16720,15.8,3074,43.8,87181,Jeffrey W. Martin,San Diego,California
247,Global Partners,GLP,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,-27,no,yes,no,no,yes,no,4273,1508.7,16492.2,-12.6,152.5,-57.9,3446,Eric Slifka,Waltham,Massachusetts
248,Grainger,GWW,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,24,yes,no,no,no,yes,yes,24650,49983.2,16478,8.2,1829,18.2,8147,D.G.  Macpherson,Lake Forest,Illinois
249,Jacobs Solutions,J,Business Services,Diversified Outsourcing Services,yes,no,no,yes,28,yes,no,no,no,no,no,58550,19316.3,16352.4,9.6,665.8,3.4,14617.1,Bob Pragada,Dallas,Texas
250,Edison International,EIX,Energy,Utilities: Gas and Electric,yes,no,no,yes,-9,no,yes,no,no,no,no,14346,27208.4,16338,-5.1,1197,95.6,81758,Pedro J. Pizarro,Rosemead,California
251,MGM Resorts International,MGM,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,64,yes,no,no,no,no,no,67000,14966.3,16164.2,23.1,1142.2,-22.5,42368.5,William J. Hornbuckle,Las Vegas,Nevada
252,Guardian Life Ins. Co. of America,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,no,29,yes,no,no,no,no,no,7561,,16137,10.1,375,428.2,96202,Andrew J. McMahon,New York,New York
253,Illinois Tool Works,ITW,Industrials,Industrial Machinery,yes,no,no,no,7,yes,no,no,no,yes,no,45000,80162.3,16107,1.1,2957,-2.5,15518,Christopher A. O'Herlihy,Glenview,Illinois
254,Ameriprise Financial,AMP,Financials,Diversified Financials,yes,no,no,yes,35,yes,no,no,no,no,no,13800,43927.7,16096,12.2,2556,-0.1,175191,James M. Cracchiolo,Minneapolis,Minnesota
255,PulteGroup,PHM,Engineering & Construction,Homebuilders,yes,no,no,no,4,yes,no,no,no,yes,yes,6382,25449.4,16061.6,-1,2602.4,-0.6,16087.1,Ryan R. Marshall,Atlanta,Georgia
256,Targa Resources,TRGP,Energy,Pipelines,yes,no,no,yes,-68,no,yes,no,no,no,no,3182,24921.7,16060.3,-23.3,1345.9,12.6,20671.8,Matthew J. Meloy,Houston,Texas
257,Ally Financial,ALLY,Financials,Diversified Financials,yes,no,no,no,81,yes,no,no,no,no,yes,11100,12337.7,15971,30.9,1020,-40.5,196392,Michael G. Rhodes,Detroit,Michigan
258,BorgWarner,BWA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,4,yes,no,no,no,yes,no,39900,8023.4,15921,0.8,625,-33.8,14453,Frederic B. Lissalde,Auburn Hills,Michigan
259,Estée Lauder,EL,Household Products,Household and Personal Products,yes,no,no,no,-29,no,yes,no,no,yes,no,53010,55258.7,15910,-10.3,1006,-57.9,23415,Fabrizio Freda,New York,New York
260,Loews,L,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,37,yes,no,no,no,no,no,12280,17396.1,15901,13.2,1434,41.7,79197,James S. Tisch,New York,New York
261,O'Reilly Automotive,ORLY,Retailing,Specialty Retailers: Other,yes,no,no,yes,26,yes,no,no,no,no,no,82958,66634.4,15812.3,9.7,2346.6,8,13873,Brad Beckham,Springfield,Missouri
262,Markel Group,MKL,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,90,yes,no,no,no,no,no,21600,19946.7,15803.6,35.4,1996.1,,55045.7,Thomas S. Gayner,Glen Allen,Virginia
263,Stanley Black & Decker,SWK,Household Products,"Home Equipment, Furnishings",no,no,no,no,-36,no,yes,no,no,yes,no,50500,15062,15781.1,-12.3,-310.5,-129.2,23663.8,Donald Allan Jr.,New Britain,Connecticut
264,Micron Technology,MU,Technology,Semiconductors and Other Electronic Components,no,no,no,no,-128,no,yes,no,no,no,no,43000,130547.6,15540,-49.5,-5833,-167.1,64254,Sanjay Mehrotra,Boise,Idaho
265,Fluor,FLR,Engineering & Construction,Engineering & Construction,yes,no,no,no,38,yes,no,no,no,no,no,30187,7192.3,15474,12.6,139,-4.1,6973,David E. Constable,Irving,Texas
266,Leidos Holdings,LDOS,Technology,Information Technology Services,yes,no,no,yes,22,yes,no,no,no,no,no,47000,17700.6,15438,7.2,199,-70.9,12695,Thomas A. Bell,Reston,Virginia
